run,optimizer,optimizer_label,layer,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,fc2,5,ERG_gap,3,327.333333,2.516611,1.452966,0.95,4.302653,6.251609,321.081724,333.584943,325.0,330.0
AdamW,adamw,AdamW,fc2,6,ERG_gap,3,313.333333,1.154701,0.666667,0.95,4.302653,2.868435,310.464898,316.201768,312.0,314.0
AdamW,adamw,AdamW,fc2,7,ERG_gap,3,307.0,2.645751,1.527525,0.95,4.302653,6.572411,300.427589,313.572411,305.0,310.0
AdamW,adamw,AdamW,fc2,8,ERG_gap,3,303.333333,2.516611,1.452966,0.95,4.302653,6.251609,297.081724,309.584943,301.0,306.0
AdamW,adamw,AdamW,fc2,9,ERG_gap,3,300.666667,1.154701,0.666667,0.95,4.302653,2.868435,297.798232,303.535102,300.0,302.0
AdamW,adamw,AdamW,fc2,10,ERG_gap,3,296.0,2.645751,1.527525,0.95,4.302653,6.572411,289.427589,302.572411,293.0,298.0
AdamW,adamw,AdamW,fc2,11,ERG_gap,3,291.666667,7.571878,4.371626,0.95,4.302653,18.809587,272.857079,310.476254,283.0,297.0
AdamW,adamw,AdamW,fc2,12,ERG_gap,3,288.333333,5.033223,2.905933,0.95,4.302653,12.503219,275.830114,300.836552,283.0,293.0
AdamW,adamw,AdamW,fc2,13,ERG_gap,3,287.333333,4.041452,2.333333,0.95,4.302653,10.039523,277.29381,297.372856,285.0,292.0
AdamW,adamw,AdamW,fc2,14,ERG_gap,3,283.333333,9.073772,5.238745,0.95,4.302653,22.540499,260.792835,305.873832,275.0,293.0
AdamW,adamw,AdamW,fc2,15,ERG_gap,3,281.666667,11.503623,6.64162,0.95,4.302653,28.576583,253.090084,310.243249,270.0,293.0
AdamW,adamw,AdamW,fc2,16,ERG_gap,3,282.333333,10.503968,6.064468,0.95,4.302653,26.093302,256.240032,308.426635,272.0,293.0
AdamW,adamw,AdamW,fc2,17,ERG_gap,3,281.666667,10.016653,5.783117,0.95,4.302653,24.882745,256.783922,306.549412,272.0,292.0
AdamW,adamw,AdamW,fc2,18,ERG_gap,3,281.666667,10.016653,5.783117,0.95,4.302653,24.882745,256.783922,306.549412,272.0,292.0
AdamW,adamw,AdamW,fc2,19,ERG_gap,3,281.333333,10.503968,6.064468,0.95,4.302653,26.093302,255.240032,307.426635,271.0,292.0
AdamW,adamw,AdamW,fc2,20,ERG_gap,3,280.0,8.544004,4.932883,0.95,4.302653,21.224482,258.775518,301.224482,271.0,288.0
