notebook,exception,duration
MNIST_MLP3_AdamW_Horizon_Optimized.out.ipynb,,1285.858711
MNIST_MLP3_SGD_Momentum_Muon_Horizon_Optimized.out.ipynb,,1548.14219
MNIST_MLP3_Horizon_Optimized_Comparison_Zoomed.out.ipynb,,15.000353
