run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,25,auxiliary_lr,3,2.576514e-05,4.1495969999999996e-21,2.395771e-21,0.95,4.302653,1.030817e-20,2.576514e-05,2.576514e-05,2.576514e-05,2.576514e-05
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,26,auxiliary_lr,3,1.770853e-05,0.0,0.0,0.95,4.302653,0.0,1.770853e-05,1.770853e-05,1.770853e-05,1.770853e-05
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,27,auxiliary_lr,3,1.13347e-05,0.0,0.0,0.95,4.302653,0.0,1.13347e-05,1.13347e-05,1.13347e-05,1.13347e-05
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,28,auxiliary_lr,3,6.723821e-06,1.037399e-21,5.989427e-22,0.95,4.302653,2.577043e-21,6.723821e-06,6.723821e-06,6.723821e-06,6.723821e-06
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,29,auxiliary_lr,3,3.933892e-06,0.0,0.0,0.95,4.302653,0.0,3.933892e-06,3.933892e-06,3.933892e-06,3.933892e-06
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,30,auxiliary_lr,3,3e-06,0.0,0.0,0.95,4.302653,0.0,3e-06,3e-06,3e-06,3e-06
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,1,max_gradient_norm_before_clip,3,10.64861,1.232092,0.7113484,0.95,4.302653,3.060685,7.587922,13.70929,9.770857,12.05713
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,2,max_gradient_norm_before_clip,3,1.869285,0.110621,0.06386709,0.95,4.302653,0.2747979,1.594487,2.144083,1.759623,1.980841
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,3,max_gradient_norm_before_clip,3,1.82144,0.2829757,0.1633761,0.95,4.302653,0.7029506,1.118489,2.52439,1.516135,2.074924
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,4,max_gradient_norm_before_clip,3,1.859322,0.05667983,0.03272411,0.95,4.302653,0.1408005,1.718522,2.000123,1.794655,1.900385
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,5,max_gradient_norm_before_clip,3,2.023566,0.2148964,0.1240705,0.95,4.302653,0.5338322,1.489734,2.557398,1.868303,2.26883
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,6,max_gradient_norm_before_clip,3,1.658032,0.07270125,0.04197409,0.95,4.302653,0.1805999,1.477433,1.838632,1.580531,1.724722
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,7,max_gradient_norm_before_clip,3,1.723804,0.129029,0.07449493,0.95,4.302653,0.3205258,1.403278,2.04433,1.609825,1.86389
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,8,max_gradient_norm_before_clip,3,1.833048,0.09808018,0.05662662,0.95,4.302653,0.2436447,1.589404,2.076693,1.719841,1.892426
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,9,max_gradient_norm_before_clip,3,1.842803,0.3172937,0.1831896,0.95,4.302653,0.7882013,1.054602,2.631005,1.635734,2.208096
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,10,max_gradient_norm_before_clip,3,1.771681,0.02819194,0.01627662,0.95,4.302653,0.07003266,1.701648,1.841713,1.741827,1.797848
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,11,max_gradient_norm_before_clip,3,1.792468,0.3928223,0.2267961,0.95,4.302653,0.9758248,0.8166428,2.768292,1.451992,2.222256
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,12,max_gradient_norm_before_clip,3,1.646642,0.1399136,0.08077917,0.95,4.302653,0.3475647,1.299077,1.994207,1.558314,1.807957
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,13,max_gradient_norm_before_clip,3,1.629839,0.3396019,0.1960692,0.95,4.302653,0.8436178,0.7862211,2.473457,1.414792,2.021344
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,14,max_gradient_norm_before_clip,3,1.486292,0.4132902,0.2386132,0.95,4.302653,1.02667,0.4596224,2.512962,1.20903,1.961306
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,15,max_gradient_norm_before_clip,3,1.400699,0.0303812,0.0175406,0.95,4.302653,0.07547109,1.325228,1.47617,1.365624,1.418808
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,16,max_gradient_norm_before_clip,3,1.19941,0.02577038,0.01487854,0.95,4.302653,0.06401718,1.135393,1.263428,1.175125,1.226445
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,17,max_gradient_norm_before_clip,3,1.258058,0.04267865,0.02464053,0.95,4.302653,0.1060196,1.152038,1.364077,1.208941,1.286096
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,18,max_gradient_norm_before_clip,3,0.9221785,0.3118176,0.1800279,0.95,4.302653,0.7745977,0.1475808,1.696776,0.598905,1.221114
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,19,max_gradient_norm_before_clip,3,1.115067,0.1899352,0.1096591,0.95,4.302653,0.4718251,0.6432416,1.586892,0.9030549,1.26969
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,20,max_gradient_norm_before_clip,3,0.6564025,0.5210882,0.3008504,0.95,4.302653,1.294455,-0.6380524,1.950857,0.05567526,0.986398
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,21,max_gradient_norm_before_clip,3,0.1760307,0.2288889,0.1321491,0.95,4.302653,0.5685916,-0.392561,0.7446223,0.02342149,0.4392122
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,22,max_gradient_norm_before_clip,3,0.09233627,0.1427395,0.08241067,0.95,4.302653,0.3545845,-0.2622482,0.4469208,0.006827274,0.2571183
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,23,max_gradient_norm_before_clip,3,0.003087592,0.001585484,0.0009153794,0.95,4.302653,0.00393856,-0.0008509675,0.007026152,0.001498667,0.004669612
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,24,max_gradient_norm_before_clip,3,0.0006727687,0.0005630158,0.0003250574,0.95,4.302653,0.001398609,-0.0007258402,0.002071378,2.362722e-05,0.001028134
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,25,max_gradient_norm_before_clip,3,1.452798e-05,4.600407e-06,2.656046e-06,0.95,4.302653,1.142805e-05,3.099935e-06,2.595603e-05,9.26036e-06,1.775583e-05
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,26,max_gradient_norm_before_clip,3,1.428935e-06,5.981475e-07,3.453406e-07,0.95,4.302653,1.485881e-06,-5.694611e-08,2.914816e-06,8.098629e-07,2.003693e-06
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,27,max_gradient_norm_before_clip,3,8.936581e-07,7.097754e-08,4.09789e-08,0.95,4.302653,1.76318e-07,7.173401e-07,1.069976e-06,8.411293e-07,9.744051e-07
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,28,max_gradient_norm_before_clip,3,5.500056e-07,1.887999e-07,1.090036e-07,0.95,4.302653,4.690048e-07,8.100078e-08,1.01901e-06,3.490427e-07,7.236705e-07
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,29,max_gradient_norm_before_clip,3,5.783032e-07,2.868062e-07,1.655876e-07,0.95,4.302653,7.12466e-07,-1.341628e-07,1.290769e-06,3.218681e-07,8.880106e-07
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,30,max_gradient_norm_before_clip,3,4.914438e-07,1.959165e-07,1.131125e-07,0.95,4.302653,4.866837e-07,4.760075e-09,9.781274e-07,3.340501e-07,7.108663e-07
