run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,2,mean_gradient_norm_before_clip,3,1.373933,0.04038179,0.02331444,0.95,4.302653,0.1003139,1.273619,1.474247,1.344888,1.420046
AdamW,adamw,AdamW,3,mean_gradient_norm_before_clip,3,0.9934853,0.01836125,0.01060087,0.95,4.302653,0.04561188,0.9478735,1.039097,0.9723059,1.004917
AdamW,adamw,AdamW,4,mean_gradient_norm_before_clip,3,0.7530673,0.001867902,0.001078434,0.95,4.302653,0.004640126,0.7484271,0.7577074,0.7511185,0.7548421
AdamW,adamw,AdamW,5,mean_gradient_norm_before_clip,3,0.5999562,0.00708197,0.004088777,0.95,4.302653,0.01759259,0.5823636,0.6175487,0.5918859,0.6051348
AdamW,adamw,AdamW,6,mean_gradient_norm_before_clip,3,0.4964783,0.002438219,0.001407706,0.95,4.302653,0.006056871,0.4904214,0.5025352,0.4938129,0.4985963
AdamW,adamw,AdamW,7,mean_gradient_norm_before_clip,3,0.4161967,0.006122065,0.003534576,0.95,4.302653,0.01520805,0.4009887,0.4314048,0.4091475,0.4201812
AdamW,adamw,AdamW,8,mean_gradient_norm_before_clip,3,0.3601318,0.04128187,0.0238341,0.95,4.302653,0.1025498,0.257582,0.4626817,0.3207925,0.4031147
AdamW,adamw,AdamW,9,mean_gradient_norm_before_clip,3,0.3370324,0.01191399,0.006878545,0.95,4.302653,0.02959599,0.3074364,0.3666284,0.3283122,0.3506072
AdamW,adamw,AdamW,10,mean_gradient_norm_before_clip,3,0.3378516,0.02102233,0.01213725,0.95,4.302653,0.05222236,0.2856292,0.390074,0.3212237,0.3614813
AdamW,adamw,AdamW,11,mean_gradient_norm_before_clip,3,0.2562052,0.0160534,0.009268436,0.95,4.302653,0.03987886,0.2163264,0.2960841,0.2405804,0.2726553
