arm,arm_label,family,variant,layer,epoch,metric,n,mean,std,sem,ci_half_width,ci_low,ci_high,minimum,maximum
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc2,28,alpha,3,4.929605,0.082768,0.047786,0.205607,4.723998,5.135213,4.834129,4.981049
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc2,29,alpha,3,4.928632,0.082581,0.047678,0.205142,4.72349,5.133775,4.833371,4.979939
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc2,30,alpha,3,4.928008,0.082466,0.047612,0.204856,4.723152,5.132865,4.832879,4.979229
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,0,alpha,3,7.368381,0.581824,0.335916,1.44533,5.923051,8.813712,6.700321,7.763975
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,1,alpha,3,5.386282,0.244291,0.141041,0.606852,4.779431,5.993134,5.2196,5.666704
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,2,alpha,3,3.865439,0.7509,0.433532,1.865339,2.0001,5.730778,3.417814,4.732349
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,3,alpha,3,3.469444,0.343884,0.198541,0.854255,2.61519,4.323699,3.083071,3.741959
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,4,alpha,3,3.329219,0.311242,0.179696,0.773168,2.556051,4.102387,3.025128,3.64715
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,5,alpha,3,3.282735,0.074593,0.043066,0.185299,3.097436,3.468034,3.200786,3.346674
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,6,alpha,3,3.146153,0.111048,0.064113,0.275858,2.870295,3.422011,3.017954,3.212549
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,7,alpha,3,3.188951,0.046296,0.026729,0.115006,3.073945,3.303958,3.156269,3.241929
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,8,alpha,3,3.072058,0.129994,0.075052,0.322923,2.749135,3.394981,2.922396,3.156862
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,9,alpha,3,3.007966,0.140068,0.080868,0.347948,2.660018,3.355914,2.887083,3.161464
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,10,alpha,3,3.023847,0.166747,0.096271,0.414221,2.609626,3.438069,2.88513,3.208846
